name,category,district,latitude,longitude
Hong Leong MSIG Takaful Berhad,work,Petaling,3.0902097,101.6287735
Hong  Leong MSIG Takaful Berhad,work,Petaling,3.0901832,101.6288722
Hong Leong MSIG Takaful Berhad,work,Petaling,3.0900064000000005,101.6287166
KK Super Mart,shopping,WP Kuala Lumpur,3.1462244,101.7096466
Pusat Pakaian Hari Hari,shopping,WP Kuala Lumpur,3.1649956999999995,101.6981463
99 Speedmart,shopping,WP Kuala Lumpur,3.1703929,101.6969854
myNEWS.com,shopping,WP Kuala Lumpur,3.1499101,101.69660799999998
OYO 90780 J Hotel Bukit Bintang,entertainment,WP Kuala Lumpur,3.1453734,101.713873
7-Eleven,shopping,WP Kuala Lumpur,3.101805,101.7407893
Hotel 99 Sepang KLIA,entertainment,Sepang,2.8204338,101.6941509
Orange Hotel,entertainment,Sepang,2.818765899999999,101.694514
City View Hotel,entertainment,Sepang,2.8180063,101.6945259
KK Super Mart,shopping,WP Kuala Lumpur,3.0846108999999995,101.70040779999998
7-Eleven,shopping,WP Kuala Lumpur,3.1234023,101.7272837
7-Eleven,shopping,Hulu Langat,3.1482105,101.7658588
Fittie Sense,food_drink,WP Kuala Lumpur,3.1320155,101.67102199999998
OCBC Bank,other,WP Kuala Lumpur,3.1495897,101.6968872
7-Eleven,shopping,WP Kuala Lumpur,3.132088199999999,101.6878993
KK Super Mart,shopping,WP Kuala Lumpur,3.1375959999999994,101.7125925
Apartment Desa Perangsang,residential,Petaling,3.0715855,101.6315751
7-Eleven,shopping,WP Kuala Lumpur,3.1002470000000004,101.7392271
myNEWS.com,shopping,Petaling,3.1663363,101.6119845
7-Eleven,shopping,WP Kuala Lumpur,3.0845214,101.6715957
CIMB ATM,other,Sepang,2.732568,101.7219208
CIMB ATM,other,Sepang,2.7531773,101.70470829999998
RHB ATM,other,Sepang,2.7534506,101.7041819
CIMB ATM,other,Sepang,2.7545907,101.7046593
Mixue,food_drink,WP Kuala Lumpur,3.1462205,101.710419
Mixue,food_drink,WP Kuala Lumpur,3.1451054,101.7114452
Mangala Theebam,shopping,WP Kuala Lumpur,3.1286121,101.683644
7-Eleven,shopping,Klang,3.03427,101.4385462
KK Super Mart,shopping,WP Kuala Lumpur,3.1329784000000003,101.6894206
Eraman Duty Free,shopping,Sepang,2.7479325,101.7131703
Dunkin',food_drink,WP Kuala Lumpur,3.1482329,101.73628069999998
Mixue,food_drink,WP Kuala Lumpur,3.1411211,101.7082399
The Ship,food_drink,WP Kuala Lumpur,3.1463427,101.71056889999998
Air Products,other,WP Kuala Lumpur,3.1125873,101.66806149999998
Starbucks,food_drink,WP Kuala Lumpur,3.1272902999999994,101.6777801
Regus,other,WP Kuala Lumpur,3.1118866,101.6659692
Air Products,other,WP Kuala Lumpur,3.111883699999999,101.66610529999998
Rozel,other,WP Kuala Lumpur,3.1365074,101.6307606
7-Eleven,shopping,WP Kuala Lumpur,3.1131846,101.66667119999998
Maybank,other,WP Kuala Lumpur,3.1539672,101.6944703
7-Eleven,shopping,Klang,3.0044222,101.40178899999998
KK Super Mart,shopping,WP Kuala Lumpur,3.0765158999999995,101.7106104
ZUS Coffee,food_drink,Hulu Langat,3.0331367,101.7644399
